timestamp,requirement,accom_type,gender,food_pref,furnished,red_eye,area,move_in_date,rent_amount,lease_duration,utilities_included,bathroom_type,distance_to_campus,people_count,description_summary,contact,heat_available,water_available,laundry_available,other_details
4/23/24 5:10 PM,looking,2bhk,male,non-veg,yes,,Roxbury,ASAP,$650,flexible,,shared,1.2 miles,2-3,2BHK needed immediately,urgent.housing.ne@gmail.com,required,required,yes,Flexible lease
4/23/24 6:25 PM,offering,3 bed,female,veg,furnished,yes,Jamaica Plain,mid May,710,9 months,no,2 bathroom,2.6 miles,3,3BR female household,girls.housing.jp@gmail.com,yes,yes,in building,Female only house
4/23/24 7:35 PM,offering,private,,no preference,no,,Mission Hill,June 1,750,12 months,included,private,0.7 miles,1,Private room in modern building,Text 857-223-9045,Yes,included,yes,24hr security
4/23/24 8:50 PM,looking,1 bed,mixed,,yes,no,Fenway,May 1,$900,6 months,yes,private,0.6 miles,1,1BR near Fenway Park,baseball.fan.housing@gmail.com,yes,yes,in unit,Love sports
4/24/24 7:10 AM,offering,4bhk,male,veg,furnished,,Back Bay,available now,1200,flexible,,2 bathroom,1.1 miles,5,Luxury 4BHK in prime location,luxury.rentals.boston@gmail.com,included,included,In-unit,concierge service
4/24/24 8:25 AM,offering,shared,female,,partially,yes,Brookline,June 15,550,12 months,partial,shared,1.8 miles,2,Shared room near Coolidge Corner,natasha.brookline@yahoo.com,yes,included,building,near shops
4/24/24 9:40 AM,looking,2 bed,,vegetarian,yes,no,Cambridge,early June,800,9 months,included,shared,3.0 miles,2,2BR vegetarian household wanted,veg.housing.search@gmail.com,yes,yes,yes,Vegetarian only
4/24/24 10:50 AM,offering,3bhk,mixed,non-veg,no,,Roxbury,May 20,$575,6 months,no,shared,1.3 miles,4,3BHK apartment near orange line,transit.housing@hotmail.com,yes,Yes,shared facility,T accessible
4/24/24 12:05 PM,offering,private,male,,furnished,,Allston,ASAP,650,12 months,yes,private,2.1 miles,1,Furnished private room available now,(857)334-2190,yes,included,available,near BU
4/24/24 1:20 PM,looking,studio,female,veg,yes,no,Mission Hill,mid June,950,flexible,partial,private,0.8 miles,1,Clean studio for female student,simran.mission.hill@gmail.com,needed,needed,prefer yes,Safe area important
4/24/24 2:35 PM,offering,shared,any,non-veg,partially,,Fenway,June 1,500,9 months,,shared,0.5 miles,3,Shared accommodation near stadium,fenway.student.housing@gmail.com,included,yes,coin laundry,game day noise
4/24/24 3:45 PM,offering,4 bed,male,,yes,yes,Brighton,May 15,450,12 months,no,shared,2.7 miles,5,Large 4BR house with parking,big.house.brighton@yahoo.com,yes,included,basement,driveway parking
4/24/24 5:00 PM,looking,2bhk,female,vegetarian,furnished,,Jamaica Plain,available now,$750,6 months,included,shared,2.5 miles,2,2BHK for two female professionals,professional.housing.jp@gmail.com,yes,yes,in unit,Working professionals
4/24/24 6:15 PM,offering,1 bed,mixed,,no,no,Longwood,early May,900,flexible,,private,0.4 miles,1,1BR near medical campus,medical.area.rentals@gmail.com,Yes,included,coin-op,Medical students
4/24/24 7:30 PM,offering,private,male,veg,yes,,Roxbury,June 15,710,12 months,no,private,1.4 miles,1,Private room with attached bath,exclusive.room.rox@gmail.com,yes,yes,yes,Private entrance
4/24/24 8:40 PM,looking,3 bed,,non-veg,furnished,yes,Back Bay,May 1,$1000,9 months,yes,shared,1.0 miles,3,3BR luxury apartment wanted,857-445-8823,required,required,must have,Luxury amenities
4/24/24 9:55 PM,offering,shared,female,veg,partially,,Cambridge,ASAP,500,6 months,partial,shared,3.1 miles,2,Female vegetarian roommate wanted,veg.cambridge.housing@gmail.com,included,included,shared,No meat cooking
4/25/24 7:25 AM,offering,studio,,no preference,yes,no,Mission Hill,mid May,1050,12 months,included,private,0.7 miles,1,Modern studio with city views,city.view.studios@gmail.com,yes,Included,in-unit,Rooftop access
4/25/24 8:35 AM,looking,2 bed,mixed,,furnished,,Fenway,June 1,600,flexible,,shared,0.6 miles,2,2BR for couple near Fenway,couples.housing.fenway@yahoo.com,yes,yes,yes,Pet friendly
4/25/24 9:50 AM,offering,4bhk,male,veg,no,yes,Brookline,May 20,$850,9 months,no,2 bathroom,1.7 miles,5,4BHK vegetarian house,veg.house.brookline@gmail.com,yes,yes,in building,Vegetarian household
4/25/24 11:05 AM,offering,private,female,vegetarian,yes,,Allston,available now,750,12 months,yes,private,2.0 miles,1,Private room for female student,female.private.allston@gmail.com,included,included,available,Safe and quiet
4/25/24 12:20 PM,looking,shared,any,,partially,no,Roxbury,early June,450,6 months,partial,shared,1.2 miles,2,Affordable shared room needed,budget.housing.search@gmail.com,yes,included,any,Budget friendly
4/25/24 1:30 PM,offering,3bhk,male,non-veg,furnished,,Jamaica Plain,June 15,710,flexible,,shared,2.6 miles,4,3BHK with outdoor space,outdoor.space.jp@hotmail.com,yes,yes,in building,patio access
4/25/24 2:45 PM,offering,1 bed,female,veg,no,no,Brighton,May 1,900,12 months,included,private,2.8 miles,1,1BR in Brighton Center,brighton.center.apt@gmail.com,Yes,included,yes,Near green line
4/25/24 4:00 PM,looking,4 bed,mixed,,yes,,Cambridge,ASAP,$550,9 months,no,shared,3.0 miles,4,Budget 4BR near Harvard,harvard.student.housing@gmail.com,yes,yes,shared,Students only
4/25/24 5:15 PM,offering,2bhk,,vegetarian,furnished,yes,Mission Hill,mid June,650,6 months,partial,shared,0.8 miles,2,2BHK vegetarian apartment,veg.mission.hill@yahoo.com,included,yes,coin-op,Vegetarian cooking
4/25/24 6:25 PM,offering,shared,male,,partially,,Fenway,June 1,500,12 months,,shared,0.5 miles,3,Male roommate needed,guys.fenway.apt@gmail.com,yes,included,building,Guys apartment
4/25/24 7:40 PM,looking,private,female,non-veg,yes,no,Back Bay,May 15,$1100,flexible,yes,private,1.1 miles,1,Luxury private room wanted,luxury.seeker.bb@gmail.com,required,required,in-unit required,High-end amenities
4/25/24 8:55 PM,offering,studio,any,veg,furnished,,Longwood,available now,1000,9 months,included,private,0.3 miles,1,Studio near hospitals,hospital.area.studio@gmail.com,yes,included,yes,Medical professionals
4/25/24 10:10 PM,offering,3 bed,male,,no,,Roxbury,early May,575,12 months,no,shared,1.3 miles,4,3BR student apartment,student.rox.housing@hotmail.com,yes,yes,shared,Student building
4/26/24 7:15 AM,looking,2 bed,female,vegetarian,yes,yes,Allston,June 15,650,6 months,partial,shared,2.1 miles,2,2BR for female vegetarians,female.veg.housing@gmail.com,yes,included,yes,Vegetarian females
4/26/24 8:30 AM,offering,4bhk,mixed,,furnished,,Jamaica Plain,May 20,$750,flexible,,2 bathroom,2.5 miles,5,Large 4BHK for students,large.student.house@yahoo.com,yes,Yes,In-unit,Student house
4/26/24 9:40 AM,offering,shared,,non-veg,partially,no,Cambridge,ASAP,500,12 months,no,shared,3.2 miles,2,Shared room available now,cambridge.share.room@gmail.com,included,included,building,near MIT
4/26/24 10:55 AM,looking,private,male,veg,yes,,Mission Hill,mid May,750,9 months,included,private,0.7 miles,1,Private vegetarian accommodation,veg.private.search@gmail.com,needed,needed,prefer yes,Veg kitchen only
4/26/24 12:10 PM,offering,1 bed,female,,furnished,yes,Fenway,June 1,900,6 months,yes,private,0.6 miles,1,Furnished 1BR for female,female.fenway.apt@gmail.com,yes,included,in-unit,Female preferred
4/26/24 1:25 PM,offering,3bhk,any,vegetarian,no,,Brookline,May 1,$710,12 months,,shared,1.8 miles,3,3BHK in Brookline,brookline.3bhk@hotmail.com,Yes,yes,building,Near Coolidge
4/26/24 2:35 PM,looking,studio,mixed,,yes,no,Back Bay,available now,1050,flexible,partial,private,1.0 miles,1,Studio for young professional,young.professional.bb@gmail.com,yes,yes,in unit,Working professional
4/26/24 3:50 PM,offering,2 bed,male,non-veg,furnished,,Brighton,early June,600,9 months,no,shared,2.7 miles,2,2BR for male students,male.students.brighton@gmail.com,yes,included,shared,Male students
4/26/24 5:05 PM,offering,shared,female,veg,partially,yes,Roxbury,June 15,450,12 months,included,shared,1.4 miles,2,Female vegetarian shared room,female.veg.shared@yahoo.com,yes,yes,available,Veg females only
4/26/24 6:20 PM,looking,4 bed,,no preference,yes,,Longwood,May 20,$650,6 months,yes,shared,0.4 miles,4-5,4BR near medical campus,(617)445-9921,required,required,yes,Medical students
4/26/24 7:30 PM,offering,private,male,,furnished,no,Allston,ASAP,850,flexible,,private,2.0 miles,1,Private furnished room,private.allston.male@gmail.com,yes,Included,coin laundry,Male students
4/26/24 8:45 PM,offering,2bhk,female,veg,no,,Jamaica Plain,mid June,575,12 months,no,shared,2.6 miles,2,2BHK in JP for females,jp.female.housing@gmail.com,yes,yes,building,Female household
4/26/24 10:00 PM,looking,3 bed,mixed,vegetarian,yes,yes,Cambridge,June 1,710,9 months,partial,shared,3.0 miles,3,3BR vegetarian apartment,veg.cambridge.search@gmail.com,yes,included,prefer yes,Veg household
4/27/24 7:20 AM,offering,studio,any,,furnished,,Mission Hill,May 15,$1000,6 months,included,private,0.8 miles,1,Furnished studio available,mission.studio.rental@gmail.com,included,included,in-unit,Modern amenities
4/27/24 8:35 AM,offering,shared,male,non-veg,partially,no,Fenway,available now,500,12 months,yes,shared,0.5 miles,3,Male shared accommodation,fenway.male.share@hotmail.com,yes,included,shared,Near T
4/27/24 9:45 AM,looking,1 bed,female,,yes,,Back Bay,early May,950,flexible,,private,1.1 miles,1,1BR for working woman,professional.woman.bb@gmail.com,yes,yes,in unit,Professional setting
4/27/24 11:00 AM,offering,4bhk,mixed,veg,furnished,yes,Brookline,June 15,$850,9 months,no,2 bathroom,1.7 miles,5,4BHK vegetarian household,veg.4bhk.brookline@gmail.com,yes,yes,in-unit,Veg household
4/27/24 12:15 PM,offering,private,,vegetarian,no,,Roxbury,May 1,750,12 months,included,private,1.2 miles,1,Private room vegetarian house,private.veg.rox@yahoo.com,Yes,included,building,Veg cooking
4/27/24 1:30 PM,looking,2 bed,male,,yes,no,Brighton,ASAP,600,6 months,partial,shared,2.8 miles,2,2BR for male students needed,male.student.housing@gmail.com,yes,yes,any,Need immediately
4/27/24 2:40 PM,offering,3bhk,female,non-veg,furnished,,Allston,mid May,$710,flexible,,shared,2.1 miles,3,3BHK for female students,female.3bhk.allston@gmail.com,yes,Yes,in building,Female only
4/27/24 3:55 PM,offering,shared,any,veg,partially,yes,Cambridge,June 1,500,12 months,no,shared,3.1 miles,2,Veg shared accommodation,veg.shared.cambridge@hotmail.com,included,included,coin-op,Veg kitchen
4/27/24 5:10 PM,looking,studio,mixed,,yes,,Mission Hill,May 20,1050,9 months,yes,private,0.7 miles,1,Modern studio wanted,modern.studio.search@gmail.com,required,required,yes,Modern building
4/27/24 6:25 PM,offering,4 bed,male,vegetarian,furnished,no,Jamaica Plain,available now,$450,6 months,included,shared,2.5 miles,5,Budget 4BR vegetarian,budget.veg.jp@yahoo.com,yes,yes,shared,Vegetarian house
4/27/24 7:35 PM,offering,2bhk,female,,no,,Fenway,early June,650,12 months,,shared,0.6 miles,2,2BHK near Fenway Park,fenway.2bhk.rental@gmail.com,yes,included,building,Near stadium
4/27/24 8:50 PM,looking,private,,non-veg,yes,yes,Longwood,June 15,900,flexible,partial,private,0.3 miles,1,Private luxury room,luxury.private.search@gmail.com,yes,yes,in-unit,High-end
4/28/24 7:10 AM,offering,1 bed,male,veg,furnished,,Back Bay,May 1,$1100,9 months,no,private,1.0 miles,1,1BR vegetarian apartment,veg.1br.backbay@gmail.com,yes,Included,in-unit,Veg household
4/28/24 8:25 AM,offering,shared,any,,partially,no,Roxbury,ASAP,500,12 months,included,shared,1.3 miles,2,Shared room near campus,near.campus.share@hotmail.com,yes,yes,building,Close to NEU
4/28/24 9:40 AM,looking,3 bed,female,vegetarian,yes,,Brookline,mid June,710,6 months,yes,shared,1.8 miles,3,3BR for female vegetarians,female.veg.3br@gmail.com,needed,needed,yes,Female veg only
4/28/24 10:50 AM,offering,4bhk,mixed,,furnished,yes,Brighton,June 1,$750,flexible,,2 bathroom,2.7 miles,5,Large 4BHK student house,student.house.brighton@yahoo.com,yes,yes,In-unit,Party friendly
4/28/24 12:05 PM,offering,studio,male,non-veg,no,,Allston,May 15,1000,12 months,partial,private,2.0 miles,1,Studio for male student,male.studio.allston@gmail.com,Yes,included,coin-op,Male student
4/28/24 1:20 PM,looking,2 bed,female,veg,yes,no,Cambridge,available now,600,9 months,no,shared,3.2 miles,2,2BR for veg females,veg.female.cambridge@gmail.com,yes,yes,prefer yes,Veg females
4/28/24 2:35 PM,offering,private,,no preference,furnished,,Mission Hill,early May,$850,6 months,included,private,0.8 miles,1,Private room in modern apt,modern.private.mh@gmail.com,included,included,yes,Modern building
4/28/24 3:45 PM,offering,3bhk,any,,partially,yes,Jamaica Plain,June 15,710,12 months,yes,shared,2.6 miles,4,3BHK with parking,parking.3bhk.jp@hotmail.com,yes,included,building,Parking included
4/28/24 5:00 PM,looking,shared,male,veg,yes,,Fenway,May 20,450,flexible,partial,shared,0.5 miles,2,Veg male roommate wanted,veg.male.fenway@gmail.com,yes,yes,any,Veg male only
4/28/24 6:15 PM,offering,1 bed,female,vegetarian,furnished,no,Longwood,ASAP,$900,9 months,,private,0.4 miles,1,1BR for female near hospital,female.longwood.apt@gmail.com,yes,Yes,in-unit,Hospital area
4/28/24 7:30 PM,offering,4 bed,mixed,,no,,Back Bay,mid May,550,12 months,no,shared,1.1 miles,5,Budget 4BR Back Bay,budget.backbay.4br@yahoo.com,yes,yes,shared,Student friendly
4/28/24 8:40 PM,looking,2bhk,,non-veg,yes,yes,Roxbury,June 1,650,6 months,included,shared,1.4 miles,2-3,2BHK near T station,t.station.housing@gmail.com,required,required,yes,Transit accessible
4/28/24 9:55 PM,offering,private,male,veg,furnished,,Brookline,May 1,$800,flexible,yes,private,1.7 miles,1,Private veg room for male,male.veg.private.bkln@gmail.com,yes,included,available,Veg household
4/29/24 7:25 AM,offering,studio,female,,partially,no,Brighton,available now,1050,12 months,partial,private,2.8 miles,1,Studio for female student,female.studio.brighton@gmail.com,included,yes,coin-op,Female preferred
4/29/24 8:35 AM,looking,shared,any,vegetarian,yes,,Allston,early June,500,9 months,,shared,2.1 miles,2,Veg shared room needed,veg.shared.search@hotmail.com,yes,included,yes,Veg cooking
4/29/24 9:50 AM,offering,3 bed,male,,furnished,yes,Cambridge,June 15,$575,6 months,no,shared,3.0 miles,4,3BR for male students,male.cambridge.3br@gmail.com,yes,yes,building,Male students
4/29/24 11:05 AM,offering,4bhk,mixed,non-veg,no,,Jamaica Plain,May 20,750,12 months,included,2 bathroom,2.5 miles,5,4BHK house with yard,yard.house.jp@yahoo.com,yes,included,in-unit,Backyard
4/29/24 12:20 PM,looking,2 bed,female,veg,yes,no,Mission Hill,ASAP,650,flexible,yes,shared,0.7 miles,2,2BR veg female apartment,veg.female.mh@gmail.com,needed,needed,prefer yes,Veg females
4/29/24 1:30 PM,offering,private,,no preference,furnished,,Fenway,mid June,$900,9 months,partial,private,0.6 miles,1,Private room Fenway area,fenway.private.room@gmail.com,yes,Yes,building,Near ballpark
4/29/24 2:45 PM,offering,1 bed,male,,partially,yes,Longwood,June 1,1100,6 months,,private,0.3 miles,1,1BR near medical campus,medical.1br.rental@hotmail.com,included,included,coin-op,Medical area
4/29/24 4:00 PM,looking,3bhk,female,veg,yes,,Back Bay,May 1,710,12 months,no,shared,1.0 miles,3,3BHK for female veg students,female.veg.3bhk@gmail.com,yes,yes,in unit,Veg females
4/29/24 5:15 PM,offering,shared,any,vegetarian,furnished,no,Roxbury,available now,$450,flexible,included,shared,1.2 miles,2,Veg shared accommodation,veg.share.rox@yahoo.com,yes,included,available,Veg cooking
4/29/24 6:25 PM,offering,studio,mixed,,no,,Brookline,early May,1000,9 months,yes,private,1.8 miles,1,Studio in Brookline,brookline.studio.apt@gmail.com,Yes,included,yes,Near Coolidge
4/29/24 7:40 PM,looking,4 bed,male,non-veg,yes,yes,Brighton,June 15,550,6 months,partial,shared,2.7 miles,4,4BR for male students,male.4br.brighton@gmail.com,yes,yes,prefer yes,Male students
4/29/24 8:55 PM,offering,2bhk,female,,furnished,,Allston,May 20,$650,12 months,,shared,2.0 miles,2,2BHK for female students,female.2bhk.allston@hotmail.com,yes,included,building,Female household
4/29/24 10:10 PM,offering,private,,veg,partially,no,Cambridge,ASAP,850,flexible,no,private,3.1 miles,1,Private veg accommodation,private.veg.cambridge@gmail.com,included,Yes,coin laundry,Veg household
4/30/24 7:15 AM,looking,1 bed,male,vegetarian,yes,,Mission Hill,mid May,900,9 months,included,private,0.8 miles,1,1BR veg male apartment,veg.male.1br@gmail.com,required,required,yes,Veg male only
4/30/24 8:30 AM,offering,3 bed,any,,furnished,yes,Jamaica Plain,June 1,$710,6 months,yes,shared,2.6 miles,4,3BR furnished apartment,furnished.3br.jp@yahoo.com,yes,yes,in building,Furnished
4/30/24 9:40 AM,offering,shared,female,non-veg,no,,Fenway,May 15,500,12 months,partial,shared,0.5 miles,2,Female shared room Fenway,female.share.fenway@gmail.com,yes,included,shared,Female roommate
4/30/24 10:55 AM,looking,4bhk,mixed,,yes,no,Longwood,available now,750,flexible,,2 bathroom,0.4 miles,4-5,Large 4BHK needed,large.apartment.search@gmail.com,yes,yes,in-unit,Spacious needed
4/30/24 12:10 PM,offering,studio,male,veg,furnished,,Back Bay,early June,$1050,9 months,no,private,1.1 miles,1,Veg studio for male,veg.studio.male@hotmail.com,yes,Included,in-unit,Veg male
4/30/24 1:25 PM,offering,2 bed,,no preference,partially,yes,Roxbury,June 15,600,12 months,included,shared,1.3 miles,2,2BR near NEU campus,near.neu.2br@gmail.com,yes,yes,building,Near campus
4/30/24 2:35 PM,looking,private,female,,yes,,Brookline,May 1,800,6 months,yes,private,1.7 miles,1,Private room for female,female.private.search@gmail.com,needed,needed,prefer yes,Female only
4/30/24 3:50 PM,offering,3bhk,male,veg,furnished,no,Brighton,ASAP,$575,flexible,partial,shared,2.8 miles,4,3BHK veg male household,veg.male.3bhk@yahoo.com,yes,yes,building,Veg males
4/30/24 5:05 PM,offering,shared,any,vegetarian,no,,Allston,mid June,450,12 months,,shared,2.1 miles,2,Veg shared room Allston,veg.allston.share@gmail.com,yes,included,coin-op,Veg household
4/30/24 6:20 PM,looking,1 bed,female,,yes,yes,Cambridge,June 1,950,9 months,no,private,3.0 miles,1,1BR for female professional,professional.female.cambridge@gmail.com,yes,yes,in-unit,Professional
4/30/24 7:30 PM,offering,4 bed,mixed,non-veg,furnished,,Mission Hill,May 20,$550,6 months,included,shared,0.7 miles,5,4BR student apartment,student.4br.mh@hotmail.com,yes,included,shared,Students
