timestamp,timestamp_iso,requirement_norm,accom_type_norm,gender_norm,food_pref_norm,furnished_bool,red_eye_bool,area_norm,move_in_date,move_in_date_iso,rent_amount,rent_amount_num,lease_duration,lease_duration_months,utilities_included_bool,bathroom_type_norm,distance_to_campus_miles,people_count_num,description_summary,contact,heat_available_bool,water_available_bool,laundry_available_bool,other_details
4/25/24 4:00 PM,2024-04-25,looking,4 bed,mixed,,True,,cambridge,ASAP,,$550,550,9 months,9,False,shared,3.0,4,Budget 4BR near Harvard,harvard.student.housing@gmail.com,True,True,,Students only
4/25/24 5:15 PM,2024-04-25,offering,2bhk,,vegetarian,,True,mission hill,mid June,2025-06-27,650,650,6 months,6,,shared,0.8,2,2BHK vegetarian apartment,veg.mission.hill@yahoo.com,True,True,,Vegetarian cooking
4/25/24 6:25 PM,2024-04-25,offering,shared,male,,,,fenway,June 1,2025-06-01,500,500,12 months,12,,shared,0.5,3,Male roommate needed,guys.fenway.apt@gmail.com,True,True,,Guys apartment
4/25/24 7:40 PM,2024-04-25,looking,private,female,non-veg,True,False,back bay,May 15,2025-05-15,$1100,1100,flexible,,True,private,1.1,1,Luxury private room wanted,luxury.seeker.bb@gmail.com,True,True,,High-end amenities
4/25/24 8:55 PM,2024-04-25,offering,studio,any,veg,,,longwood,available now,,1000,1000,9 months,9,True,private,0.3,1,Studio near hospitals,hospital.area.studio@gmail.com,True,True,True,Medical professionals
4/25/24 10:10 PM,2024-04-25,offering,3 bed,male,,False,,roxbury,early May,2025-05-27,575,575,12 months,12,False,shared,1.3,4,3BR student apartment,student.rox.housing@hotmail.com,True,True,,Student building
4/26/24 7:15 AM,2024-04-26,looking,2 bed,female,vegetarian,True,True,allston,June 15,2025-06-15,650,650,6 months,6,,shared,2.1,2,2BR for female vegetarians,female.veg.housing@gmail.com,True,True,True,Vegetarian females
4/26/24 8:30 AM,2024-04-26,offering,4bhk,mixed,,,,jamaica plain,May 20,2025-05-20,$750,750,flexible,,,2 bathroom,2.5,5,Large 4BHK for students,large.student.house@yahoo.com,True,True,,Student house
4/26/24 9:40 AM,2024-04-26,offering,shared,,non-veg,,False,cambridge,ASAP,,500,500,12 months,12,False,shared,3.2,2,Shared room available now,cambridge.share.room@gmail.com,True,True,,near MIT
4/26/24 10:55 AM,2024-04-26,looking,private,male,veg,True,,mission hill,mid May,2025-05-27,750,750,9 months,9,True,private,0.7,1,Private vegetarian accommodation,veg.private.search@gmail.com,True,True,,Veg kitchen only
4/26/24 12:10 PM,2024-04-26,offering,1 bed,female,,,True,fenway,June 1,2025-06-01,900,900,6 months,6,True,private,0.6,1,Furnished 1BR for female,female.fenway.apt@gmail.com,True,True,,Female preferred
4/26/24 1:25 PM,2024-04-26,offering,3bhk,any,vegetarian,False,,brookline,May 1,2025-05-01,$710,710,12 months,12,,shared,1.8,3,3BHK in Brookline,brookline.3bhk@hotmail.com,True,True,,Near Coolidge
4/26/24 2:35 PM,2024-04-26,looking,studio,mixed,,True,False,back bay,available now,,1050,1050,flexible,,,private,1.0,1,Studio for young professional,young.professional.bb@gmail.com,True,True,,Working professional
4/26/24 3:50 PM,2024-04-26,offering,2 bed,male,non-veg,,,brighton,early June,2025-06-27,600,600,9 months,9,False,shared,2.7,2,2BR for male students,male.students.brighton@gmail.com,True,True,,Male students
4/26/24 5:05 PM,2024-04-26,offering,shared,female,veg,,True,roxbury,June 15,2025-06-15,450,450,12 months,12,True,shared,1.4,2,Female vegetarian shared room,female.veg.shared@yahoo.com,True,True,,Veg females only
4/26/24 6:20 PM,2024-04-26,looking,4 bed,,no preference,True,,longwood,May 20,2025-05-20,$650,650,6 months,6,True,shared,0.4,4,4BR near medical campus,(617)445-9921,True,True,True,Medical students
4/26/24 7:30 PM,2024-04-26,offering,private,male,,,False,allston,ASAP,,850,850,flexible,,,private,2.0,1,Private furnished room,private.allston.male@gmail.com,True,True,,Male students
4/26/24 8:45 PM,2024-04-26,offering,2bhk,female,veg,False,,jamaica plain,mid June,2025-06-27,575,575,12 months,12,False,shared,2.6,2,2BHK in JP for females,jp.female.housing@gmail.com,True,True,,Female household
4/26/24 10:00 PM,2024-04-26,looking,3 bed,mixed,vegetarian,True,True,cambridge,June 1,2025-06-01,710,710,9 months,9,,shared,3.0,3,3BR vegetarian apartment,veg.cambridge.search@gmail.com,True,True,,Veg household
4/27/24 7:20 AM,2024-04-27,offering,studio,any,,,,mission hill,May 15,2025-05-15,$1000,1000,6 months,6,True,private,0.8,1,Furnished studio available,mission.studio.rental@gmail.com,True,True,,Modern amenities
4/27/24 8:35 AM,2024-04-27,offering,shared,male,non-veg,,False,fenway,available now,,500,500,12 months,12,True,shared,0.5,3,Male shared accommodation,fenway.male.share@hotmail.com,True,True,,Near T
4/27/24 9:45 AM,2024-04-27,looking,1 bed,female,,True,,back bay,early May,2025-05-27,950,950,flexible,,,private,1.1,1,1BR for working woman,professional.woman.bb@gmail.com,True,True,,Professional setting
4/27/24 11:00 AM,2024-04-27,offering,4bhk,mixed,veg,,True,brookline,June 15,2025-06-15,$850,850,9 months,9,False,2 bathroom,1.7,5,4BHK vegetarian household,veg.4bhk.brookline@gmail.com,True,True,,Veg household
4/27/24 12:15 PM,2024-04-27,offering,private,,vegetarian,False,,roxbury,May 1,2025-05-01,750,750,12 months,12,True,private,1.2,1,Private room vegetarian house,private.veg.rox@yahoo.com,True,True,,Veg cooking
4/27/24 1:30 PM,2024-04-27,looking,2 bed,male,,True,False,brighton,ASAP,,600,600,6 months,6,,shared,2.8,2,2BR for male students needed,male.student.housing@gmail.com,True,True,,Need immediately
4/27/24 2:40 PM,2024-04-27,offering,3bhk,female,non-veg,,,allston,mid May,2025-05-27,$710,710,flexible,,,shared,2.1,3,3BHK for female students,female.3bhk.allston@gmail.com,True,True,,Female only
4/27/24 3:55 PM,2024-04-27,offering,shared,any,veg,,True,cambridge,June 1,2025-06-01,500,500,12 months,12,False,shared,3.1,2,Veg shared accommodation,veg.shared.cambridge@hotmail.com,True,True,,Veg kitchen
4/27/24 5:10 PM,2024-04-27,looking,studio,mixed,,True,,mission hill,May 20,2025-05-20,1050,1050,9 months,9,True,private,0.7,1,Modern studio wanted,modern.studio.search@gmail.com,True,True,True,Modern building
4/27/24 6:25 PM,2024-04-27,offering,4 bed,male,vegetarian,,False,jamaica plain,available now,,$450,450,6 months,6,True,shared,2.5,5,Budget 4BR vegetarian,budget.veg.jp@yahoo.com,True,True,,Vegetarian house
4/27/24 7:35 PM,2024-04-27,offering,2bhk,female,,False,,fenway,early June,2025-06-27,650,650,12 months,12,,shared,0.6,2,2BHK near Fenway Park,fenway.2bhk.rental@gmail.com,True,True,,Near stadium
4/27/24 8:50 PM,2024-04-27,looking,private,,non-veg,True,True,longwood,June 15,2025-06-15,900,900,flexible,,,private,0.3,1,Private luxury room,luxury.private.search@gmail.com,True,True,,High-end
4/28/24 7:10 AM,2024-04-28,offering,1 bed,male,veg,,,back bay,May 1,2025-05-01,$1100,1100,9 months,9,False,private,1.0,1,1BR vegetarian apartment,veg.1br.backbay@gmail.com,True,True,,Veg household
4/28/24 8:25 AM,2024-04-28,offering,shared,any,,,False,roxbury,ASAP,,500,500,12 months,12,True,shared,1.3,2,Shared room near campus,near.campus.share@hotmail.com,True,True,,Close to NEU
4/28/24 9:40 AM,2024-04-28,looking,3 bed,female,vegetarian,True,,brookline,mid June,2025-06-27,710,710,6 months,6,True,shared,1.8,3,3BR for female vegetarians,female.veg.3br@gmail.com,True,True,True,Female veg only
4/28/24 10:50 AM,2024-04-28,offering,4bhk,mixed,,,True,brighton,June 1,2025-06-01,$750,750,flexible,,,2 bathroom,2.7,5,Large 4BHK student house,student.house.brighton@yahoo.com,True,True,,Party friendly
4/28/24 12:05 PM,2024-04-28,offering,studio,male,non-veg,False,,allston,May 15,2025-05-15,1000,1000,12 months,12,,private,2.0,1,Studio for male student,male.studio.allston@gmail.com,True,True,,Male student
4/28/24 1:20 PM,2024-04-28,looking,2 bed,female,veg,True,False,cambridge,available now,,600,600,9 months,9,False,shared,3.2,2,2BR for veg females,veg.female.cambridge@gmail.com,True,True,,Veg females
4/28/24 2:35 PM,2024-04-28,offering,private,,no preference,,,mission hill,early May,2025-05-27,$850,850,6 months,6,True,private,0.8,1,Private room in modern apt,modern.private.mh@gmail.com,True,True,True,Modern building
4/28/24 3:45 PM,2024-04-28,offering,3bhk,any,,,True,jamaica plain,June 15,2025-06-15,710,710,12 months,12,True,shared,2.6,4,3BHK with parking,parking.3bhk.jp@hotmail.com,True,True,,Parking included
4/28/24 5:00 PM,2024-04-28,looking,shared,male,veg,True,,fenway,May 20,2025-05-20,450,450,flexible,,,shared,0.5,2,Veg male roommate wanted,veg.male.fenway@gmail.com,True,True,,Veg male only
4/28/24 6:15 PM,2024-04-28,offering,1 bed,female,vegetarian,,False,longwood,ASAP,,$900,900,9 months,9,,private,0.4,1,1BR for female near hospital,female.longwood.apt@gmail.com,True,True,,Hospital area
4/28/24 7:30 PM,2024-04-28,offering,4 bed,mixed,,False,,back bay,mid May,2025-05-27,550,550,12 months,12,False,shared,1.1,5,Budget 4BR Back Bay,budget.backbay.4br@yahoo.com,True,True,,Student friendly
4/28/24 8:40 PM,2024-04-28,looking,2bhk,,non-veg,True,True,roxbury,June 1,2025-06-01,650,650,6 months,6,True,shared,1.4,2,2BHK near T station,t.station.housing@gmail.com,True,True,True,Transit accessible
4/28/24 9:55 PM,2024-04-28,offering,private,male,veg,,,brookline,May 1,2025-05-01,$800,800,flexible,,True,private,1.7,1,Private veg room for male,male.veg.private.bkln@gmail.com,True,True,,Veg household
4/29/24 7:25 AM,2024-04-29,offering,studio,female,,,False,brighton,available now,,1050,1050,12 months,12,,private,2.8,1,Studio for female student,female.studio.brighton@gmail.com,True,True,,Female preferred
4/29/24 8:35 AM,2024-04-29,looking,shared,any,vegetarian,True,,allston,early June,2025-06-27,500,500,9 months,9,,shared,2.1,2,Veg shared room needed,veg.shared.search@hotmail.com,True,True,True,Veg cooking
4/29/24 9:50 AM,2024-04-29,offering,3 bed,male,,,True,cambridge,June 15,2025-06-15,$575,575,6 months,6,False,shared,3.0,4,3BR for male students,male.cambridge.3br@gmail.com,True,True,,Male students
4/29/24 11:05 AM,2024-04-29,offering,4bhk,mixed,non-veg,False,,jamaica plain,May 20,2025-05-20,750,750,12 months,12,True,2 bathroom,2.5,5,4BHK house with yard,yard.house.jp@yahoo.com,True,True,,Backyard
4/29/24 12:20 PM,2024-04-29,looking,2 bed,female,veg,True,False,mission hill,ASAP,,650,650,flexible,,True,shared,0.7,2,2BR veg female apartment,veg.female.mh@gmail.com,True,True,,Veg females
4/29/24 1:30 PM,2024-04-29,offering,private,,no preference,,,fenway,mid June,2025-06-27,$900,900,9 months,9,,private,0.6,1,Private room Fenway area,fenway.private.room@gmail.com,True,True,,Near ballpark
4/29/24 2:45 PM,2024-04-29,offering,1 bed,male,,,True,longwood,June 1,2025-06-01,1100,1100,6 months,6,,private,0.3,1,1BR near medical campus,medical.1br.rental@hotmail.com,True,True,,Medical area
4/29/24 4:00 PM,2024-04-29,looking,3bhk,female,veg,True,,back bay,May 1,2025-05-01,710,710,12 months,12,False,shared,1.0,3,3BHK for female veg students,female.veg.3bhk@gmail.com,True,True,,Veg females
4/29/24 5:15 PM,2024-04-29,offering,shared,any,vegetarian,,False,roxbury,available now,,$450,450,flexible,,True,shared,1.2,2,Veg shared accommodation,veg.share.rox@yahoo.com,True,True,,Veg cooking
4/29/24 6:25 PM,2024-04-29,offering,studio,mixed,,False,,brookline,early May,2025-05-27,1000,1000,9 months,9,True,private,1.8,1,Studio in Brookline,brookline.studio.apt@gmail.com,True,True,True,Near Coolidge
4/29/24 7:40 PM,2024-04-29,looking,4 bed,male,non-veg,True,True,brighton,June 15,2025-06-15,550,550,6 months,6,,shared,2.7,4,4BR for male students,male.4br.brighton@gmail.com,True,True,,Male students
4/29/24 8:55 PM,2024-04-29,offering,2bhk,female,,,,allston,May 20,2025-05-20,$650,650,12 months,12,,shared,2.0,2,2BHK for female students,female.2bhk.allston@hotmail.com,True,True,,Female household
4/29/24 10:10 PM,2024-04-29,offering,private,,veg,,False,cambridge,ASAP,,850,850,flexible,,False,private,3.1,1,Private veg accommodation,private.veg.cambridge@gmail.com,True,True,,Veg household
4/30/24 7:15 AM,2024-04-30,looking,1 bed,male,vegetarian,True,,mission hill,mid May,2025-05-27,900,900,9 months,9,True,private,0.8,1,1BR veg male apartment,veg.male.1br@gmail.com,True,True,True,Veg male only
4/30/24 8:30 AM,2024-04-30,offering,3 bed,any,,,True,jamaica plain,June 1,2025-06-01,$710,710,6 months,6,True,shared,2.6,4,3BR furnished apartment,furnished.3br.jp@yahoo.com,True,True,,Furnished
